Nom piyin sans accent,Nom latin,Nom botanique,Partie employée,Saveur,Nature,Tropisme,Fonctions,Indications,Combinaisons,Mode d’emploi et dosage,Toxicité,Précautions et contre-indications,Recherche clinique,Formules de référence,Commentaires
Bai Zhi,Radix Angelicae Dahuricae,Angelica dahurica Benth. et Hook.,racine,piquante,tiède,Shou Tai Yin Poumon et Zu Yang Ming Estomac,Libère la surface / Disperse le vent / Calme les douleurs / Réduit les gonflements / Elimine le pus / Chasse l’humidité / Arrête la leucorrhée / Ouvre le nez,"Attaque externe de vent-froid avec céphalée, douleur supra-orbitale, obstruction nasale. / Rétention de vent avec décharge nasale épaisse et odorante. / Stade précoce des furoncles et abcès. / Froid-humidité causant des leucorrhées aqueuses, blanches, abondantes et inodores. / Chaleur-humidité causant des leucorrhées épaisses, jaunes, abondantes et odorantes. / Prurit dû au vent et à l’humidité.","Plus Gao Ben, Rhizoma Ligustici pour les céphalées par vent-froid, surtout au vertex. / Plus Xi Xin, Herba Asari cum Radice pour les céphalées générales et les céphalées référant aux sinus et à la région orbitale, causées par le vent-froid. / Plus Jie Geng, Radix Platycodi pour les furoncles ulcérés, quand le pus n’est pas déchargé. / Plus Chuan Xiong, Radix Ligustici Wallichii pour la céphalée. / Plus Chuan Xiong, Radix Ligustici Wallichii, Jing Jie, Herba Schizonepetae et Zi Su Ye, Folium Perillae pour les céphalées par vent-froid. / Plus Chuan Xiong, Rhizoma Ligustici Wallichii, Ju Hua, Flos Chrysanthemi Morifolii et du thé pour les céphalées par vent-chaleur. / Plus Gan Cao, Radix Glycyrrhizae pour la douleur causée par des ulcères externes. / Plus Xi Xin, Herba Asari cum Radice, Xin Yi Hua, Flos Magnoliae Liliflorae et Cang Er Zi, Fructus Xanthii pour la congestion nasale. / Plus Huang Qin, Radix Scutellariae pour la céphalée par vent-chaleur. / Plus Sheng Shi Gao, Gypsum Fibrosum et Sheng Ma, Rhizoma Cimicifugae pour le mal dentaire. / Plus Wu Zei Gu, Os Sepiae, Bai Zhu, Rhizoma Atractylodis Albae et Fu Ling, Sclerotium Poriae pour la leucorrhée par froid-humidité. / Plus Huang Bai, Cortex Phellodendri, Che Qian Zi, Semen Plantaginis et Ku Shen, Radix Sophorae pour la leucorrhée par chaleur-humidité.",3 à 10 g en décoction.,,vides de Sang et de Yin. Eviter dans les abcès ouverts dont le pus s’écoule déjà.,,"Bai Zhi est une herbe-guide du méridien du Gros Intestin, du Poumon et de l’Estomac.",
Cong Bai,Herba Allii Fistulosi,Allium fistulosum,"la plante entière, la tête ou la tige",piquante,tiède,Shou Tai Yin Poumon et Zu Yang / Ming Estomac,Induit la transpiration / Libère la surface / Disperse le froid / Fait communiquer le Yang / Régularise le Sang / Elimine les toxiques,"Début d’attaque externe de vent-froid. / Douleurs abdominales par stagnation de Qi induite par le froid. / Rétention urinaire par le froid causant la dysfonction du Qi de la Vessie. / Congestion nasale en cas de Yang bloqué par le froid. / Abcès, furoncles, ulcérations de la peau (en utilisation externe mélangée à du miel).","Plus Dan Dou Chi, Semen Sojae Praeparatum pour les débuts d’attaque externe avec frissons, fièvre, absence de transpiration et congestion nasale.",3 à 10 g en décoction.,,ne pas ingérer mélangé à du miel.,,Cong Chi Tang / Bai Tong Tang,
Fang Feng,Radix Ledebourelliae,Ledebourellia seseloides (Hofm.) Wolff,racine,piquante et douce,neutre et légèrement tiède,"Zu Tai Yang Vessie, Zu Jue Yin Foie et Zu Tai Yin Rate",Libère la surface / Disperse le vent / Calme les spasmes / Elimine l’humidité / Calme la douleur / Contre les effets toxiques de l’arsenic et du mercure,"Pénétration du vent-froid avec fièvre, crainte du froid, céphalées et courbatures. / Pénétration du vent-chaleur avec fièvre, douleur à la gorge, yeux rouges, céphalées. / Syndromes Bi par vent-froid-humidité avec douleurs et crampes musculaires. / Désordres de la peau et prurit. / Tétanos avec trismus. / Vent intestinal par la dysharmonie Foie/Rate. / Empoisonnement par l’arsenic ou le mercure.","Plus Qiang Huo, Radix Notopterygii, Du Huo, Radix Angelicae Pubescentis et Wei Ling Xian, Radix Clematidis pour les syndromes Bi. / Plus Qin Jiao, Radix Gentianae Macrophyllae pour la douleur du vent-humidité chez les patients avec vide de Sang. / Plus Cang Zhu, Rhizoma Atractylodis Lanceae pour la douleur par vent-humidité ou la diarrhée par vent-froid chez des patients présentant une humidité par vide de Rate. / Plus Tian Nan Xing, Tuber Arisaematis pour la céphalée, la douleur corporelle généralisée et l’engourdissement par vent-glaires obstruant les méridiens. / Plus Gan Cao, Radix Giycyrrhizae pour éliminer les intoxications chroniques à l’arsenic et au mercure.",3 à 10 g en décoction.,,vide de Sang avec spasmes; vide de Yin avec chaleur.,"analgésique, anticonvulsif, antibactérien.",Fang Feng Tong Sheng San / Qing Shang Fang Feng Tang / Shi Wei Bai Du Tang,
Gao Ben,Rhizoma Ligustici,Ligusticum sinense Oliv.,racine,piquante,tiède,Zu Tai Yang Vessie,Libère la surface / Disperse le froid / Elimine le vent / Chasse l’humidité / Calme les douleurs,"Vent-froid ou vent-humidité avec céphalées irradiant au vertex, aux dents, aux joues ou à l’occiput. / Vent-froid-humidité causant des douleurs articulaires Bi. / Douleurs abdominales du syndrome Han Shan (hernie froide).","Plus Xi Xin, Herba Asari cum Radice pour la céphalée causée par le vent-froid-humidité, les céphalées du vertex, la raideur de la nuque et le mal aux dents. / Plus Cang Zhu, Rhizoma Atractylodis Lanceae pour la douleur du dos et des articulations dans les débuts du Bi. / Plus Wu Zhu Yu, Fructus Evodiae et Xiao Hui Xiang, Fructus Foeniculi pour la douleur abdominale et les douleurs Shan (herniales) par froid-humidité.",2 à 10 g en décoction.,,vides de Sang et de Yin.,,"Gao Ben, Rhizoma Ligustici est une herbe-guide du méridien de l’intestin Grêle et traite les deux extrémités du méridien Du.",
Gui Zhi,Ramulus Cinnamomi,Cinnamomum cassia Blume,branche,piquante et douce,tiède,"Shou Shao Yin Coeur, Shou Tai Yin Poumon et Zu Tai Yang Vessie",Libère la surface / Favorise la sudation / Harmonise Wei et Ying / Réchauffe les méridiens et disperse le froid / Mobilise le Yang et transforme le Qi / Fortifie le Yang du Cœur / Active la circulation du Sang,"Vent-froid attaquant la surface et y causant une plénitude. / Vide de la surface par attaque du vent et du froid avec crainte du froid, fièvre, transpiration légère. / Vide du Yang de la poitrine avec douleurs thoraciques qui irradient dans le dos avec palpitations, pouls noué et grand. / Vide de Yang du Cœur et de la Rate avec stagnation des eaux et de l’humidité interne, sensation de plénitude thoracique et costale avec palpitations, dyspnée. / Syndrome de plénitude et de gonflement du bas ventre, avec trouble de la miction. / Douleurs articulaires dues à la pénétration dans les Jing Luo, du vent, du froid et de l’humidité. / Troubles menstruels par stagnation du froid et stagnation sanguine avec dysménorrhée ou aménorrhée.","Plus Ma Huang, Herba Ephedrae pour les plénitudes de la surface. / Plus Bai Shao, Radix Paeoniae Albae pour la dysharmonie Ying et Wei par une attaque externe. / Plus Fu Zi, Radix Aconiti Carmichaeli Praeparata pour le froid et lés extrémités douloureuses dans le Vide de Yang chez les patients souffrant de Bi douloureux. / Plus Zhi Gan Cao, Radix Glycyrrhizae cum melle tosta pour les palpitations et la dyspnée en cas de lésion du Yang de la poitrine. / Plus Fu Ling, Sclerotium Poriae pour débloquer le Yang et faciliter l’élimination de l’oedème dans la congestion de liquides par vide de Yang. Aussi pour les palpitations et la dyspnée par le vide du Yang du Coeur. / Plus Mu Li, Concha Ostreae et Long Gu, Os Draconis pour l’irritabilité et l’insomnie pour un Yang flottaht dans le foyer supérieur et un Yin blessé dans le foyer inférieur ou causé par un vide du Yang du Coeur. Ces herbes augmentées de Bai Zhu, Rhizoma Atractylodis Albae , Sheng Jiang, Rhizoma Zingiberis Recens, Da Zaô, Fructus Zizyphi Jujubae, Gan Cao, Radix Glycyrrhizae traitent la spermatorrhée par le vide. / Plus Dan Shen, Radix Salviae Miltiorrhizae pour les palpitations et les douleurs thoraciques par vide du Yang du Coeur et obstruction douloureuse de la poitrine par stase sanguine dans les Jing Luo. / Plus Wu Zhu Yu, Fructus Evodiae pour la douleur abdominale, la dysménorrhée et l’irrégularité menstruelle par le froid vide dans les méridiens Chong et Ren. / Plus Tao Ren, Semen Persicae pour les douleurs traumatiques ou gynécologiques causées par les stases sanguines.",3 à 10 g en décoction courte.,Ld50 19 g/Kg en injection intra-veineuse chez la souris.,chaleur ; vide de Yin avec chaleur.,"sédatif, anticonvulsif, antipyrétique, stimulant sanguin et emménagogue, antitussif, diurétique, anti-allergique, antibactérien.",Gui Zhi Fu Ling Wan / Gui Zhi Tang / Ling Gui Zhu Gan Tang / Wu Ling San / Zhi Shi Xie Bai Gui Zhi Tang / Zhi Gan Cao Tang,
Jing Jie,Herba Schizonepetae,Schizonepeta tenuifolia Briq.,tige ou bouton,piquante et aromatique,neutre et tiède,Shou Tai Yin Poumon et Zu Jue Yin Foie,Libère la surface / Induit la transpiration / Disperse le vent / Fait sortir les éruptions / Apaise le prurit / Arrête l’hémorragie,"Attaque superficielle de vent-froid avec céphalée, frilosité, fièvre, absence de transpiration. / Attaque externe de vent-chaleur avec fièvre, céphalée, mal de gorge, absence de transpiration ou transpiration légère. / Maladies de la peau et prurit par l’attaque du vent. / Stade initial des furoncles et des abcès. / Hémorragies telles que l’épistaxis, les selles sanguinolentes, les saignements utérins.","Plus Bo He, Herba Menthae pour libérer la surface, induire la transpiration, disperser le vent dans la tête et encourager l’apparition des éruptions et apaiser le prurit. / Plus Bo He, Herba Menthae, Fang Feng, Radix Ledebourelliae et Qiang Huo, Radix Notopterygii pour le vent-froid externe. / Plus Bo He, Herba Menthae, Sang Ye, Folium Mori, Ju Hua, Flos Chrysanthemi Morifolii, Jin Yin Hua, Flos Lonicerap et Lian Qiao, Fructus Forsy- thiae pour le vent-chaleur externe. / Plus Bo He, Herba Menthae, Huo Xiang, Herba Agastaches et Pei Lan, Herba Eupatorii pour les attaques externes avec humidité. / Plus Bo He, Herba Menthae, Dang Gui, Radix Angelicae Sinensis et Chuan Xiong, Radix Ligustici Wallichii pour les atteintes externes par le vent après l’accouchement. / Plus Bo He, Herba Menthae, Jie Geng, Radix Platycodi et Gan Cao, Radix Glycyrrhizae pour la toux aiguë par une attaque externe. / Plus Bo He, Herba Menthae, Huang Qin, Radix Scutellariae et Ju Hua, Flos Chrysanthemi Morifolii pour les atteintes oculaires par le vent-chaleur. / Plus Bo He, Herba Menthae, Niu Bang Zi, Fructus Arctii et Chan Tui, Periostracum Gicadae pour le début de la rougeole. / Plus Bo He, Herba Menthae, Mu Zei, Herba Equi- seti et Gu Jing Cao, Flos Eriocaulonis pour les éruptions avec prurit. / Plus Fang Feng, Radix Ledebourelliae pour les plénitudes de la surface par attaque externe avec prurit ou pour les débuts de furoncles.",3 à 10 g en décoction (griller au noir pour l’hémorragie).,,vent du Foie; rougeole avancée; abcès ouverts.,antibactérien.,Jing Jie Tang / Qing Shang Fang Feng Tang / Shi Wei Bai Du Tang,
Ma Huang,Herba Ephedrae,Ephedra sinica Stapf.,tige,piquante et légèrement amère,tiède,Shou Tai Yin Poumon et Zu Tai Yang Vessie,Libère la surface / Descend le Qi du Poumon et calme l’asthme / Draine les liquides / Réduit l’œdème / Ouvre le nez / Calme le prurit,"Attaque externe de vent-froid avec frilosité, fièvre, céphalée, douleurs corporelles, obstruction nasale, absence de transpiration, enduit lingual fin et blanc, pouls superficiel et tendu. / Attaque externe de vent-froid causant la toux et l’asthme. / Syndrome d’atteinte de la surface avec œdèmes. / Syndrome Bi par vent-froid-humidité.","Plus Gui Zhi, Ramulus Cinnamomi pour les attaques de vent-froid externes sans transpiration. / Plus Ku Xing Ren, Semen Armeniacae Amarae pour la toux et l’asthme par vent-froid. / Plus Gan Jiang, Rhizoma Zingiberis Exsiccata pour l’amas de liquides et l’œdème. Si l’utilisation de Ma Huang, Herba Ephedrae produit trop de chaleur, on peut compenser cet effet par l’utilisation de Sheng Shi Gao, Gypsum Fibrosum et Huang Qin, Radix Scutellariae. / Plus Shu Di Huang, Radix Rehmanniae Praeparata pour les furoncles Yin causés par le froid-humidité obstruant les méridiens ou pour l’asthme causé par le vide du Yin du Rein. / Plus Fu Zi, Radix Aconiti Carmichaeli Praeparata pour le Bi douloureux par vent-froid ou le froid et l’oedème par vide de Yang. / Plus Bai Zhu, Rhizoma Atractylodis Albae pour l’œdème aigu ou subaigu, éventuellement en combinaison avec Fu Ling Pi, Cortex Poriae et Sang Bai Pi, Cortex Mori Radicis.",2 à 10 g en décoction.,"Ld50 de l’extrait aqueux est de 650 mg/kg chez la souris. Réactions toxiques aiguës : céphalée, agitation, insomnie, palpitations, larmoiement, rhinorrhée, malaise, fièvre, hyperhidrose, gêne épigastrique, nausée, vomissement, acouphènes, élévation de la tension, tachycardie, extrasystoles. Les doses Importantes peuvent provoquer la dépression cardiaque et la bradycardie. Traitement : émétiques, lavage gastrique, purgatifs pour réduire l’absorption. L’agitation se traite aux barbituriques. Si nécessaire supplémentation liquidienne et oxygénation. La combinaison avec des glycosides cardiaques peut causer des arythmies cardiaques.",une dose trop importante ou une prise pendant une trop longue période peuvent causer des transpirations importantes qui affaiblissent l’énergie. / Ma Huang peut augmenter la tension artérielle et causer de l’agitation et des tremblements. Utilisation prudente dans les Vides avec transpiration et dyspnée.,"vasodilatateur cardiaque, cervical et musculaire, hypertenseur, relaxant musculaire, stimulant utérin, stimulant nerveux, antibactérien, antitussif.",Ma Huang Tang / Ma Xing Shi Gan Tang / San Niu Tang / Xiao Qing Long Tang / Yue Bi Tang,
Qiang Huo,Radix Notopterygii,Notopterygium incisium Ting Mss.,racine,"piquante, amère et aromatique",tiède,Zu Tai Yang Vessie et Zu Shao Yin Reins,Libère la surface / Disperse le froid / Elimine le vent et l’humidité / Pénètre le Bi et calme les douleurs,"Attaque d’origine externe par le vent et le froid avec crainte du froid, céphalées, douleurs intenses. / Douleurs Bi articulaires, scapulo-dorsales et de la moitié supérieure du corps par vent-froid-humidité. / Céphalées dues au vent-froid.","Plus Chuan Xiong, Radix Ligustici Wallichii pour la céphalée et les douleurs corporelles généralisées à l’occasion d’une attaque externe ou un Bi. / Plus Fang Feng, Radix Ledebourelliae pour la douleur par vent-humidité externe. / Plus Du Huo, Radix Angelicae Pubescentis pour le Bi par vent-humidité.",3 à 10 g en décoction.,,"vides de Sang, de Yin et les syndromes externes par vide.",,"Qiang Huo, Radix Notopterygii est plus efficace pour le vent-froid-humidité superficiel. Du Huo, Radix Angelicae Pubescentis est plus efficace pour le vent-froid-humidité en profondeur. Qiang Huo, Radix Notopterygii s’adresse plutôt à la partie supérieure du corps, Du Huo, Radix Angelicae Pubescentis à la partie inférieure. / Qiang Huo, Radix Notopterygii est une herbe-guide du méridien de la Vessie et Du Mai.",
Sheng Jiang,Rhizoma Zingiberis Recens,Zingiber officinale Rose.,racine,piquante,tiède,"Shou Tai Yin Poumon, Zu Yang Ming Estomac et Zu Tai Yin Rate","Libère la surface / Induit la sudation / Réchauffe le Poumon / Calme la toux / Réchauffe la Rate et l’Estomac / Arrête les vomissements / Diminue la toxicité des autres herbes, notamment de Fu Zi, Radix Aconiti Carmichaeli Praeparata et de Ban Xia, Tuber Pinelliae. / Régie Wei et Ying","Attaque externe de vent-froid avec frissons, fièvre, céphalée, obstruction nasale. / Vent-froid attaquant le Poumon et causant la toux. / Froid de l'Estomac avec nausées et vomissements ou diarrhée. . / Intoxication par les plantes, par les poissons et crustacés.","Plus Da Zao, Fructus.Zizyphi Jujubae pour l’attaque de vent-froid externe. / Plus Da Zao, Fructus Zizyphi Jujubae pour le vide du Qi de la Rate avec douleur épigastrique, nausées et vomissements. / Plus Ban Xia, Tuber Pinelliae pour les vomissements par glaires-humidité. / Plus Ban Xia, Tuber Pinelliae pour la toux productive par glaires-humidité. / Plus Zhu Li, Succus Bambusae pour la toux et la céphalée par glaires chaudes ou pour l’aphasie et l’engourdissement par Zhong Feng (syndrome apoplectiforme) avec obstruction de glaires. / Plus Zhu Ru, Caulis Bambusae in Taeniis pour le vomissement par la chaleur, chez des patients ayant un vide du Qi de l’Estomac.",3 à 10 g en décoction.,,chaleur du Poumon et de l’Estomac avec vomissement.,"digestif, antiémétique, anti-inflammatoire, analgésique, stimulant cardiaque, des centres vasomoteur et respiratoire.",Da Qing Long Tang / Ge Gen Tang,
Xi Xin,Herba Asari cum Radice,Asarum sieboldii Miq.,la plante entière,piquante,tiède,"Shou Tai Yin Poumon, Zu Tai Yin Rate et Zu Shao Yin Reins",Disperse le froid / Libère la surface / Chasse le vent / Calme les douleurs / Réchauffe le Poumon / Transforme les glaires / Elimine les liquides / Ouvre les stagnations,"Attaque de vent-froid causant la céphalée. / Attaque de vent-froid causant des douleurs dentaires. / Chaleur dans l’Estomac causant des douleurs dentaires. / Syndrome Bi par vent-froid-humidité. / Attaque externe de vent-froid causant le syndrome Shao Yin. / Glaires froides attaquant le Poumon avec asthme, toux, expectoration profuse de mucosités translucides. / Attaque externe de vent-froid causant l’écoulement nasal, la congestion nasale, la céphalée. / Douleurs corporelles, surtout de la poitrine, par stagnation de Qi.","Plus Ma Huang, Herba Ephedrae pour la toux et la dyspnée avec glaires causées par le vent-froid. / Plus Fu Zi, Radix Aconiti Carmichaeli Praeparata pour la céphalée dans le syndrome Shao Yin avec pouls profond. / Plus Chai Hu, Radix Bupleuri pour la céphalée traumatique ou causée par vent et froid obstruant les méridiens. / Plus Wu Wei Zi, Fructus Schisandrae pour la toux et la dyspnée par glaires froides. / Plus Sheng Di Huang, Radix Rehmanniae pour la céphalée et le mal aux dents par vent-chaleur. / Plus Gui Zhi, Ramulus Cinnamomi et Dan Shen, Radix Salviae Miltiorrhizae pour la douleur de la poitrine causée par la stagnation de Qi froid. / Plus Dang Gui, Radix Angelicae Sinensis et Hong Hua, Flos Carthami pour les masses douloureuses dans les seins. / Plus Bai Zhi, Radix Angelicae Dahuricae, Xin Yi Hua, Flos Magnoliae Liliflorae et Bo He, Herba Menthae pour l’écoulement et la congestion nasale. / Plus Qiang Huo, Radix Notopterygii et Fang Feng, Radix Ledebourelliae pour l’attaque externe de vent-froid causant la céphalée et des douleurs corporelles.","2 à 5 g en décoction; 0,5 à 1 g en poudre.","Ld50 chez la souris : 12,37 g/kg per os.",,"sédatif, analgésique, antipyrétique, anesthésique local, antitussif, adrénergique, stimulant métabolique, anti-allergique, antibactérien.",Xi Xin est une herbe guide des méridiens du Cœur et des Reins.,
